part,alpha_deg,beta_deg,pose_id,sim_count,sim_freq_pct,geom_CSA_B_pct,geom_CSA_A_pct,geom_CSA_N_pct,geom_CRSA_B_pct,geom_CRSA_A_pct,geom_CRSA_N_pct,ratio_wall,thresh_wall,ratio_floor,thresh_floor,geom_notes,flagged_unstable_by_geometry
Ql4i,15.0,20.0,10,193,11.047510017172295,12.89,12.84,3.58,12.77,11.36,4.08,0.25,2.731,0.236,2.296,-,False
Ql4i,15.0,20.0,11,36,2.0606754436176304,0.0,0.0,8.93,0.0,0.0,8.57,3.936,2.731,0.928,2.296,TRANSITIONS,True
Ql4i,15.0,20.0,12,237,13.5661133371494,12.89,12.81,3.58,12.77,12.77,4.08,0.25,2.731,0.236,2.296,-,False
Ql4i,15.0,20.0,13,3,0.17172295363480253,0.0,0.0,0.28,0.0,0.0,0.1,1.056,2.731,4.0,2.296,FLOOR-UNSTABLE,True
Ql4i,15.0,20.0,14,8,0.4579278763594734,0.0,0.0,0.29,0.0,0.0,0.13,1.059,2.731,4.216,2.296,FLOOR-UNSTABLE,True
Ql4i,15.0,20.0,15,2,0.11448196908986835,0.0,0.0,0.31,0.0,0.0,0.14,0.945,2.731,3.984,2.296,FLOOR-UNSTABLE,True
Ql4i,15.0,20.0,16,7,0.4006868918145392,0.0,0.0,0.3,0.0,0.0,0.13,0.947,2.731,3.774,2.296,FLOOR-UNSTABLE,True
Ql4i,15.0,20.0,17,10,0.5724098454493417,0.0,0.0,8.58,0.0,0.0,7.64,4.0,2.731,1.056,2.296,TRANSITIONS,True
Ql4i,15.0,20.0,18,160,9.158557527189467,12.14,12.23,3.37,12.25,11.67,3.91,0.25,2.731,0.264,2.296,-,False
Ql4i,15.0,20.0,19,20,1.1448196908986834,0.0,0.0,8.55,0.0,0.0,8.87,3.936,2.731,1.037,2.296,TRANSITIONS,True
Ql4i,15.0,20.0,20,180,10.303377218088151,12.14,12.2,3.37,12.25,12.91,3.91,0.25,2.731,0.264,2.296,-,False
Ql4i,15.0,20.0,21,179,10.246136233543217,12.57,12.65,3.49,12.59,13.21,4.02,0.264,2.731,0.25,2.296,-,False
Ql4i,15.0,20.0,22,25,1.4310246136233544,0.0,0.0,8.57,0.0,0.0,8.36,4.163,2.731,1.04,2.296,TRANSITIONS,True
Ql4i,15.0,20.0,23,229,13.108185460789926,12.4,12.3,3.44,12.38,12.44,3.95,0.236,2.731,0.25,2.296,-,False
Ql4i,15.0,20.0,24,14,0.8013737836290784,0.0,0.0,8.87,0.0,0.0,9.06,3.732,2.731,0.932,2.296,TRANSITIONS,True
Ql4i,15.0,20.0,-1,253,14.481969089868345,,,,,,,,2.731,,2.296,UNMATCHED (no catalog pose within quat_match_tol),False
Ql4i,25.0,15.0,1,161,9.871244635193133,12.64,12.64,5.45,12.62,12.95,7.65,0.264,2.731,0.25,2.296,-,False
Ql4i,25.0,15.0,2,8,0.49049662783568365,0.0,0.0,6.26,0.0,0.0,4.83,4.163,2.731,1.04,2.296,TRANSITIONS,True
Ql4i,25.0,15.0,3,212,12.998160637645617,12.33,12.32,5.31,12.35,12.45,7.49,0.236,2.731,0.25,2.296,-,False
Ql4i,25.0,15.0,4,14,0.8583690987124464,0.0,0.0,6.43,0.0,0.0,5.16,3.732,2.731,0.932,2.296,TRANSITIONS,True
Ql4i,25.0,15.0,5,3,0.18393623543838136,0.0,0.0,0.72,0.0,0.0,0.11,1.056,2.731,4.0,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,15.0,6,0,0.0,0.0,0.0,0.75,0.0,0.0,0.13,1.059,2.731,4.216,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,15.0,7,0,0.0,0.0,0.0,0.79,0.0,0.0,0.14,0.945,2.731,3.984,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,15.0,8,2,0.12262415695892091,0.0,0.0,0.76,0.0,0.0,0.14,0.947,2.731,3.774,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,15.0,9,6,0.3678724708767627,0.0,0.0,6.53,0.0,0.0,4.2,4.0,2.731,0.944,2.296,TRANSITIONS,True
Ql4i,25.0,15.0,10,255,15.634580012262417,12.88,12.86,5.55,12.84,12.11,7.79,0.25,2.731,0.236,2.296,-,False
Ql4i,25.0,15.0,11,26,1.5941140404659717,0.0,0.0,6.52,0.0,0.0,5.02,3.936,2.731,0.928,2.296,TRANSITIONS,True
Ql4i,25.0,15.0,12,186,11.404046597179644,12.88,12.85,5.55,12.84,12.94,7.79,0.25,2.731,0.236,2.296,-,False
Ql4i,25.0,15.0,13,1,0.061312078479460456,0.0,0.0,0.72,0.0,0.0,0.11,1.056,2.731,4.0,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,15.0,14,2,0.12262415695892091,0.0,0.0,0.75,0.0,0.0,0.13,1.059,2.731,4.216,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,15.0,15,4,0.24524831391784183,0.0,0.0,0.79,0.0,0.0,0.14,0.945,2.731,3.984,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,15.0,16,3,0.18393623543838136,0.0,0.0,0.76,0.0,0.0,0.14,0.947,2.731,3.774,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,15.0,17,11,0.674432863274065,0.0,0.0,6.22,0.0,0.0,4.15,4.0,2.731,1.056,2.296,TRANSITIONS,True
Ql4i,25.0,15.0,18,144,8.828939301042306,12.15,12.19,5.23,12.19,11.66,7.39,0.25,2.731,0.264,2.296,-,False
Ql4i,25.0,15.0,19,7,0.4291845493562232,0.0,0.0,6.21,0.0,0.0,4.98,3.936,2.731,1.037,2.296,TRANSITIONS,True
Ql4i,25.0,15.0,20,185,11.342734518700183,12.15,12.18,5.23,12.19,12.49,7.39,0.25,2.731,0.264,2.296,-,False
Ql4i,25.0,15.0,21,187,11.465358675659106,12.64,12.64,5.45,12.62,12.95,7.65,0.264,2.731,0.25,2.296,-,False
Ql4i,25.0,15.0,22,20,1.226241569589209,0.0,0.0,6.26,0.0,0.0,4.83,4.163,2.731,1.04,2.296,TRANSITIONS,True
Ql4i,25.0,15.0,23,184,11.281422440220723,12.33,12.32,5.31,12.35,12.45,7.49,0.236,2.731,0.25,2.296,-,False
Ql4i,25.0,15.0,24,10,0.6131207847946045,0.0,0.0,6.43,0.0,0.0,5.16,3.732,2.731,0.932,2.296,TRANSITIONS,True
Ql4i,25.0,15.0,-1,369,22.624156958920906,,,,,,,,2.731,,2.296,UNMATCHED (no catalog pose within quat_match_tol),False
Ql4i,25.0,18.0,1,156,9.59409594095941,12.63,12.65,5.22,12.69,12.98,7.39,0.264,2.731,0.25,2.296,-,False
Ql4i,25.0,18.0,2,11,0.6765067650676507,0.0,0.0,6.42,0.0,0.0,5.13,4.163,2.731,1.04,2.296,TRANSITIONS,True
Ql4i,25.0,18.0,3,218,13.407134071340714,12.34,12.31,5.1,12.29,12.44,7.16,0.236,2.731,0.25,2.296,-,False
Ql4i,25.0,18.0,4,20,1.2300123001230012,0.0,0.0,6.62,0.0,0.0,5.43,3.732,2.731,0.932,2.296,TRANSITIONS,True
Ql4i,25.0,18.0,5,3,0.18450184501845018,0.0,0.0,0.76,0.0,0.0,0.13,1.056,2.731,4.0,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,18.0,6,1,0.06150061500615006,0.0,0.0,0.79,0.0,0.0,0.15,1.059,2.731,4.216,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,18.0,7,3,0.18450184501845018,0.0,0.0,0.84,0.0,0.0,0.16,0.945,2.731,3.984,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,18.0,8,4,0.24600246002460024,0.0,0.0,0.81,0.0,0.0,0.16,0.947,2.731,3.774,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,18.0,9,11,0.6765067650676507,0.0,0.0,6.72,0.0,0.0,4.41,4.0,2.731,0.944,2.296,TRANSITIONS,True
Ql4i,25.0,18.0,10,194,11.931119311193111,12.9,12.88,5.33,12.82,12.02,7.47,0.25,2.731,0.236,2.296,-,False
Ql4i,25.0,18.0,11,23,1.4145141451414514,0.0,0.0,6.71,0.0,0.0,5.29,3.936,2.731,0.928,2.296,TRANSITIONS,True
Ql4i,25.0,18.0,12,210,12.915129151291513,12.9,12.86,5.33,12.82,12.92,7.47,0.25,2.731,0.236,2.296,-,False
Ql4i,25.0,18.0,13,9,0.5535055350553506,0.0,0.0,0.76,0.0,0.0,0.13,1.056,2.731,4.0,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,18.0,14,12,0.7380073800738007,0.0,0.0,0.79,0.0,0.0,0.15,1.059,2.731,4.216,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,18.0,15,10,0.6150061500615006,0.0,0.0,0.84,0.0,0.0,0.16,0.945,2.731,3.984,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,18.0,16,15,0.922509225092251,0.0,0.0,0.81,0.0,0.0,0.16,0.947,2.731,3.774,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,18.0,17,17,1.045510455104551,0.0,0.0,6.39,0.0,0.0,4.41,4.0,2.731,1.056,2.296,TRANSITIONS,True
Ql4i,25.0,18.0,18,159,9.77859778597786,12.13,12.18,5.02,12.21,11.66,7.12,0.25,2.731,0.264,2.296,-,False
Ql4i,25.0,18.0,19,16,0.984009840098401,0.0,0.0,6.37,0.0,0.0,5.29,3.936,2.731,1.037,2.296,TRANSITIONS,True
Ql4i,25.0,18.0,20,168,10.33210332103321,12.13,12.16,5.02,12.21,12.56,7.12,0.25,2.731,0.264,2.296,-,False
Ql4i,25.0,18.0,21,164,10.08610086100861,12.63,12.65,5.22,12.69,12.98,7.39,0.264,2.731,0.25,2.296,-,False
Ql4i,25.0,18.0,22,21,1.2915129151291513,0.0,0.0,6.42,0.0,0.0,5.13,4.163,2.731,1.04,2.296,TRANSITIONS,True
Ql4i,25.0,18.0,23,176,10.824108241082412,12.34,12.31,5.1,12.29,12.44,7.16,0.236,2.731,0.25,2.296,-,False
